hotel_class,region_id,url,phone,details,address,type,id,name,region,street-address,postal-code,locality,full_address,latitude,longitude
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_Times_Square-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '147 West 43rd Street', 'postal-code': '10036', 'locality': 'New York City'}",hotel,113317,Casablanca Hotel Times Square,NY,147 West 43rd Street,10036,New York City,"147 West 43rd Street, New York City, NY, 10036, USA",40.756498,-73.985397
5.0,32655,http://www.tripadvisor.com/Hotel_Review-g32655-d76049-Reviews-Four_Seasons_Hotel_Los_Angeles_at_Beverly_Hills-Los_Angeles_California.html,,,"{'region': 'CA', 'street-address': '300 S Doheny Dr', 'postal-code': '90048', 'locality': 'Los Angeles'}",hotel,76049,Four Seasons Hotel Los Angeles at Beverly Hills,CA,300 S Doheny Dr,90048,Los Angeles,"300 S Doheny Dr, Los Angeles, CA, 90048, USA",34.0729537,-118.3892139
3.5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d99352-Reviews-Hilton_Garden_Inn_Times_Square-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '790 Eighth Avenue', 'postal-code': '10019', 'locality': 'New York City'}",hotel,99352,Hilton Garden Inn Times Square,NY,790 Eighth Avenue,10019,New York City,"790 Eighth Avenue, New York City, NY, 10019, USA",42.7173296,-73.7100288
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d93589-Reviews-The_Michelangelo_Hotel-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '152 West 51st Street', 'postal-code': '10019', 'locality': 'New York City'}",hotel,93589,The Michelangelo Hotel,NY,152 West 51st Street,10019,New York City,"152 West 51st Street, New York City, NY, 10019, USA",40.7612575,-73.9827705
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d217616-Reviews-The_Muse_Hotel_New_York-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '130 West 46th Street', 'postal-code': '10036', 'locality': 'New York City'}",hotel,217616,The Muse Hotel New York,NY,130 West 46th Street,10036,New York City,"130 West 46th Street, New York City, NY, 10036, USA",40.7577833,-73.9837764
4.5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d208454-Reviews-Sofitel_New_York-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '45 West 44th Street', 'postal-code': '10036', 'locality': 'New York City'}",hotel,208454,Sofitel New York,NY,45 West 44th Street,10036,New York City,"45 West 44th Street, New York City, NY, 10036, USA",40.7559276,-73.9815926
,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d2643161-Reviews-The_NoMad_Hotel-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '1170 Broadway & 28th Street', 'postal-code': '10001', 'locality': 'New York City'}",hotel,2643161,The NoMad Hotel,NY,1170 Broadway & 28th Street,10001,New York City,"1170 Broadway & 28th Street, New York City, NY, 10001, USA",,
3.5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1465162-Reviews-Staybridge_Suites_Times_Square_New_York_City-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '340 West 40th Street', 'postal-code': '10018', 'locality': 'New York City'}",hotel,1465162,Staybridge Suites Times Square - New York City,NY,340 West 40th Street,10018,New York City,"340 West 40th Street, New York City, NY, 10018, USA",40.7565366,-73.9927043
4.5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d93559-Reviews-The_Sherry_Netherland_Hotel-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '781 Fifth Avenue', 'postal-code': '10022', 'locality': 'New York City'}",hotel,93559,The Sherry-Netherland Hotel,NY,781 Fifth Avenue,10022,New York City,"781 Fifth Avenue, New York City, NY, 10022, USA",40.8021613,-73.9453686
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '150 East 50th Street', 'postal-code': '10022', 'locality': 'New York City'}",hotel,80112,San Carlos Hotel,NY,150 East 50th Street,10022,New York City,"150 East 50th Street, New York City, NY, 10022, USA",40.7558963,-73.9715295
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '49 W 44th St', 'postal-code': '10036', 'locality': 'New York City'}",hotel,93396,The Iroquois,NY,49 W 44th St,10036,New York City,"49 W 44th St, New York City, NY, 10036, USA",40.7558514,-73.9819341
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1456560-Reviews-Eventi_a_Kimpton_Hotel-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '851 Avenue of the Americas (Sixth Avenue)', 'postal-code': '10001', 'locality': 'New York City'}",hotel,1456560,Eventi - a Kimpton Hotel,NY,851 Avenue of the Americas (Sixth Avenue),10001,New York City,"851 Avenue of the Americas (Sixth Avenue), New York City, NY, 10001, USA",,
5.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1641016-Reviews-The_Chatwal-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '130 West 44th Street', 'postal-code': '10036', 'locality': 'New York City'}",hotel,1641016,The Chatwal,NY,130 West 44th Street,10036,New York City,"130 West 44th Street, New York City, NY, 10036, USA",40.7564397,-73.9846261
5.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1776857-Reviews-The_Setai_Fifth_Avenue_a_Capella_managed_Hotel-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '400 Fifth Avenue', 'postal-code': '10018', 'locality': 'New York City'}",hotel,1776857,"The Setai Fifth Avenue, a Capella managed Hotel",NY,400 Fifth Avenue,10018,New York City,"400 Fifth Avenue, New York City, NY, 10018, USA",40.7501052,-73.9838132
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1762573-Reviews-Andaz_5th_Avenue-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '485 5th Avenue', 'postal-code': '10017', 'locality': 'New York City'}",hotel,1762573,Andaz 5th Avenue,NY,485 5th Avenue,10017,New York City,"485 5th Avenue, New York City, NY, 10017, USA",40.7528315,-73.9810928
3.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d93338-Reviews-Hotel_Beacon-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '2130 Broadway at 75th Street', 'postal-code': '10023', 'locality': 'New York City'}",hotel,93338,Hotel Beacon,NY,2130 Broadway at 75th Street,10023,New York City,"2130 Broadway at 75th Street, New York City, NY, 10023, USA",,
5.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '50 Central Park South', 'postal-code': '10019', 'locality': 'New York City'}",hotel,224224,"The Ritz-Carlton New York, Central Park",NY,50 Central Park South,10019,New York City,"50 Central Park South, New York City, NY, 10019, USA",40.7651799,-73.9760102
3.0,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1866401-Reviews-Holiday_Inn_Hotel_Houston_Westchase-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '10609 Westpark Drive', 'postal-code': '77042', 'locality': 'Houston'}",hotel,1866401,Holiday Inn Hotel-Houston Westchase,TX,10609 Westpark Drive,77042,Houston,"10609 Westpark Drive, Houston, TX, 77042, USA",29.7212466,-95.5591815
4.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d99060-Reviews-Omni_Houston_Hotel-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '4 Riverway', 'postal-code': '77056', 'locality': 'Houston'}",hotel,99060,Omni Houston Hotel,TX,4 Riverway,77056,Houston,"4 Riverway, Houston, TX, 77056, USA",29.7612579,-95.4593509
2.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1218737-Reviews-La_Quinta_Inn_Suites_Houston_Normandy-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '930 Normandy St', 'postal-code': '77015', 'locality': 'Houston'}",hotel,1218737,La Quinta Inn & Suites Houston - Normandy,TX,930 Normandy St,77015,Houston,"930 Normandy St, Houston, TX, 77015, USA",29.773213,-95.206394
3.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d99081-Reviews-Crowne_Plaza_Houston_Brookhollow-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '12801 Northwest Fwy', 'postal-code': '77040-6301', 'locality': 'Houston'}",hotel,99081,Crowne Plaza Houston - Brookhollow,TX,12801 Northwest Fwy,77040-6301,Houston,"12801 Northwest Fwy, Houston, TX, 77040-6301, USA",29.842621,-95.495187
3.0,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d107915-Reviews-Drury_Inn_Suites_Houston_Near_The_Galleria-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '1615 W. Loop South', 'postal-code': '77027', 'locality': 'Houston'}",hotel,107915,Drury Inn & Suites Houston Near The Galleria,TX,1615 W. Loop South,77027,Houston,"1615 W. Loop South, Houston, TX, 77027, USA",29.7512159,-95.4545106
4.0,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1966350-Reviews-The_Westin_Houston_Memorial_City-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '945 Gessner Road', 'postal-code': '77024', 'locality': 'Houston'}",hotel,1966350,The Westin Houston Memorial City,TX,945 Gessner Road,77024,Houston,"945 Gessner Road, Houston, TX, 77024, USA",29.7815803,-95.5443004
3.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d108038-Reviews-Hilton_University_of_Houston-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '4800 Calhoun Rd', 'postal-code': '77004', 'locality': 'Houston'}",hotel,108038,Hilton University of Houston,TX,4800 Calhoun Rd,77004,Houston,"4800 Calhoun Rd, Houston, TX, 77004, USA",29.7207902,-95.3440627
4.0,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1200103-Reviews-Hotel_Sorella_CITYCENTRE-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '800 Sorella Court', 'postal-code': '77024', 'locality': 'Houston'}",hotel,1200103,Hotel Sorella CITYCENTRE,TX,800 Sorella Court,77024,Houston,"800 Sorella Court, Houston, TX, 77024, USA",29.7799159,-95.5612571
4.0,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d283873-Reviews-Hotel_Icon_Autograph_Collection-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '220 Main Street', 'postal-code': '77002', 'locality': 'Houston'}",hotel,283873,"Hotel Icon, Autograph Collection",TX,220 Main Street,77002,Houston,"220 Main Street, Houston, TX, 77002, USA",29.7624934,-95.3608405
5.0,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d98952-Reviews-Four_Seasons_Hotel_Houston-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '1300 Lamar Street', 'postal-code': '77010', 'locality': 'Houston'}",hotel,98952,Four Seasons Hotel Houston,TX,1300 Lamar Street,77010,Houston,"1300 Lamar Street, Houston, TX, 77010, USA",29.7540727,-95.3627941
2.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d107956-Reviews-Extended_Stay_America_Houston_Northwest-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '5454 Hollister Street', 'postal-code': '77040', 'locality': 'Houston'}",hotel,107956,Extended Stay America - Houston - Northwest,TX,5454 Hollister Street,77040,Houston,"5454 Hollister Street, Houston, TX, 77040, USA",29.8471001,-95.5055786
3.0,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1158926-Reviews-Hilton_Garden_Inn_Houston_Energy_Corridor-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '12245 Katy Freeway', 'postal-code': '77079', 'locality': 'Houston'}",hotel,1158926,Hilton Garden Inn Houston Energy Corridor,TX,12245 Katy Freeway,77079,Houston,"12245 Katy Freeway, Houston, TX, 77079, USA",29.7824052,-95.6035901
4.0,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d282699-Reviews-Hilton_Americas_Houston-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '1600 Lamar', 'postal-code': '77010', 'locality': 'Houston'}",hotel,282699,Hilton Americas - Houston,TX,1600 Lamar,77010,Houston,"1600 Lamar, Houston, TX, 77010, USA",29.7515551,-95.3606597
